Direction,Year,Date,Country,Product,Transport_mode,Measure,Value
Exports,2016,08/06/2016,All,All,All,$,65000000
Exports,2016,09/06/2016,All,All,All,$,154000000
Exports,2016,10/06/2016,All,All,All,$,172000000
Exports,2016,11/06/2016,All,All,All,$,124000000
Exports,2016,12/06/2016,All,All,All,$,146000000
Exports,2016,13/06/2016,All,All,All,$,82000000
Exports,2016,14/06/2016,All,All,All,$,133000000
Exports,2016,15/06/2016,All,All,All,$,98000000
Exports,2016,16/06/2016,All,All,All,$,179000000
Exports,2016,17/06/2016,All,All,All,$,130000000
Exports,2016,18/06/2016,All,All,All,$,182000000
Exports,2016,19/06/2016,All,All,All,$,181000000
Exports,2016,20/06/2016,All,All,All,$,147000000
Exports,2016,21/06/2016,All,All,All,$,122000000
Exports,2016,22/06/2016,All,All,All,$,73000000
Exports,2016,23/06/2016,All,All,All,$,172000000
Exports,2016,24/06/2016,All,All,All,$,170000000
Exports,2016,25/06/2016,All,All,All,$,99000000
Exports,2016,26/06/2016,All,All,All,$,153000000
Exports,2016,27/06/2016,All,All,All,$,140000000
Exports,2016,28/06/2016,All,All,All,$,106000000
Exports,2016,29/06/2016,All,All,All,$,106000000
Exports,2017,04/02/2017,All,All,All,$,167000000
Exports,2017,05/02/2017,All,All,All,$,147000000
Exports,2017,06/02/2017,All,All,All,$,202000000
Exports,2017,07/02/2017,All,All,All,$,74000000
Exports,2017,08/02/2017,All,All,All,$,147000000
Exports,2017,09/02/2017,All,All,All,$,112000000
Exports,2017,10/02/2017,All,All,All,$,108000000
Exports,2017,11/02/2017,All,All,All,$,148000000
Exports,2017,12/02/2017,All,All,All,$,166000000
Exports,2017,13/02/2017,All,All,All,$,188000000
Exports,2017,14/02/2017,All,All,All,$,62000000
Exports,2017,15/02/2017,All,All,All,$,149000000
Exports,2017,16/02/2017,All,All,All,$,137000000
Exports,2017,17/02/2017,All,All,All,$,150000000
Exports,2017,18/02/2017,All,All,All,$,129000000
Exports,2017,19/02/2017,All,All,All,$,173000000
Exports,2017,20/02/2017,All,All,All,$,251000000
